#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G5XG	43739	15531	27518	22503	10773	11730	2182	558753	535010	22508	55052	555706	487650	26920	41136	3047	698	1993	152	204
B00G74M	43629	15445	27503	22486	10739	11747	2346	558716	534939	22526	55092	555806	487549	27962	40295	2910	742	1823	164	181
B00G5XF	43542	15344	27515	22433	10742	11691	2185	559017	535236	22533	55089	556057	488254	26842	40961	2960	809	1821	157	173
B00G74L	43705	15461	27543	22510	10765	11745	2356	558606	534872	22509	55053	555617	486338	26849	42430	2989	725	1904	175	185
B00G5XE	43589	15393	27515	22472	10764	11708	2425	558691	534970	22481	55052	555717	486931	27088	41698	2974	746	1906	152	170
B00G74K	43787	15629	27476	22408	10753	11655	2559	558423	534705	22480	54991	555567	487359	27403	40805	2856	788	1729	162	177
B00G5XD	43665	15445	27532	22436	10722	11714	2230	558846	535071	22540	55077	555814	487416	27013	41385	3032	700	2021	165	146
B00G74J	43694	15488	27524	22548	10787	11761	2045	558890	535114	22537	55076	555817	487715	27503	40599	3073	683	2066	144	180
B00G5XC	43637	15453	27506	22499	10774	11725	2267	558774	535047	22504	55040	555893	486899	27497	41497	2881	750	1784	153	194
B00G74Q	43639	15473	27479	22494	10760	11734	2363	558681	534909	22524	55087	555837	486554	27394	41889	2844	752	1779	151	162
B00G752	43704	15502	27521	22493	10775	11718	2236	558744	534995	22500	55060	555672	487414	26826	41432	3072	740	1998	147	187
B00G5XB	43866	15646	27529	22429	10736	11693	2227	558655	534935	22491	55037	555543	487188	27166	41189	3112	768	2006	146	192
B00G74P	43607	15413	27504	22468	10746	11722	2481	558621	534894	22497	55033	555680	486419	26880	42381	2941	755	1869	146	171
B00G751	43629	15421	27515	22451	10749	11702	2328	558769	534981	22544	55090	555722	486626	26552	42544	3047	744	1968	152	183
B00G5XA	43793	15574	27523	22406	10728	11678	2439	558539	534838	22462	55043	555550	487017	27251	41282	2989	799	1885	154	151
B00G74O	43651	15416	27547	22494	10727	11767	2288	558744	534991	22512	55065	555700	486732	26968	42000	3044	793	1890	169	192
B00G750	43688	15472	27533	22497	10754	11743	2335	558657	534898	22514	55058	555693	487200	27256	41237	2964	736	1884	164	180
B00G74N	43653	15469	27502	22525	10770	11755	2231	558768	535001	22519	55085	556033	487707	27075	41251	2735	699	1704	150	182
B00G74E	43719	15489	27535	22492	10772	11720	2176	558790	535055	22505	55060	555703	487406	27289	41008	3087	747	2013	147	180
B00G74D	43871	15602	27579	22557	10743	11814	1687	559062	535217	22596	55125	555966	487193	26859	41914	3096	682	2095	140	179
B00G74C	43693	15508	27512	22536	10810	11726	2019	558929	535171	22517	55059	555936	487836	27037	41063	2993	664	2018	149	162
B00G74B	43669	15472	27510	22388	10746	11642	2572	558548	534877	22448	54985	555602	487853	27561	40188	2946	719	1924	156	147
B00G74I	43721	15530	27502	22457	10764	11693	2287	558712	534990	22486	55035	555752	487858	27520	40374	2960	739	1915	159	147
B00G5WY	43816	15592	27534	22353	10735	11618	2395	558613	534913	22483	55041	555574	488073	26981	40520	3039	789	1913	157	180
B00G5WX	43675	15474	27508	22367	10736	11631	2357	558778	535043	22505	55054	555799	487159	26869	41771	2979	827	1826	152	174
B00G5X9	43744	15541	27524	22407	10749	11658	2327	558699	534939	22513	55061	555691	486646	27286	41759	3008	786	1873	169	180
B00G74G	43717	15501	27529	22492	10752	11740	2158	558810	535080	22497	55053	555841	487839	28048	39954	2969	748	1889	169	163
B00G5X8	43653	15458	27507	22535	10794	11741	2074	558915	535142	22529	55055	555262	486384	26151	42727	3653	1151	2135	175	192
B00G74F	43792	15596	27509	22486	10770	11716	2188	558711	534993	22489	55041	555702	487725	26831	41146	3009	820	1857	162	170
B00G5X6	43885	15681	27511	22497	10763	11734	2085	558710	534954	22519	55061	555656	486976	27243	41437	3054	815	1901	165	173
B00G5X4	43763	15585	27486	22426	10769	11657	2444	558544	534835	22487	55038	555644	487177	26941	41526	2900	866	1727	185	122
